sample_id,jaccard,f1,recall,precision,accuracy
1,0.0336456298828125,0.06510089901241493,1.0,0.0336456298828125,0.0336456298828125
2,0.0820465087890625,0.15165061413281064,1.0,0.0820465087890625,0.0820465087890625
3,0.1151275634765625,0.20648321725209015,1.0,0.1151275634765625,0.1151275634765625
4,0.1232757568359375,0.21949330978740747,1.0,0.1232757568359375,0.1232757568359375
5,0.0101318359375,0.020060422960725077,1.0,0.0101318359375,0.0101318359375
6,0.09765625,0.17793594306049823,1.0,0.09765625,0.09765625
7,0.1309967041015625,0.23164825083309723,1.0,0.1309967041015625,0.1309967041015625
8,0.0340118408203125,0.06578617280306943,1.0,0.0340118408203125,0.0340118408203125
9,0.108551025390625,0.19584308327598074,1.0,0.108551025390625,0.108551025390625
10,0.5805511474609375,0.7346186150237008,1.0,0.5805511474609375,0.5805511474609375
11,0.1879425048828125,0.316416836859209,1.0,0.1879425048828125,0.1879425048828125
12,0.1637115478515625,0.2813610437291025,1.0,0.1637115478515625,0.1637115478515625
13,0.238983154296875,0.3857730485972561,1.0,0.238983154296875,0.238983154296875
14,0.0885467529296875,0.16268801076549994,1.0,0.0885467529296875,0.0885467529296875
15,0.323272705078125,0.48859574271811074,1.0,0.323272705078125,0.323272705078125
16,0.009490966796875,0.018803470479760574,1.0,0.009490966796875,0.009490966796875
17,0.01300048828125,0.025667289269145025,1.0,0.01300048828125,0.01300048828125
18,0.02447509765625,0.047780756627941616,1.0,0.02447509765625,0.02447509765625
19,0.374725341796875,0.545163939885009,1.0,0.374725341796875,0.374725341796875
20,0.1219940185546875,0.21745930287905782,1.0,0.1219940185546875,0.1219940185546875
21,0.3446197509765625,0.5125906424121378,1.0,0.3446197509765625,0.3446197509765625
22,0.2819671630859375,0.43989763732666787,1.0,0.2819671630859375,0.2819671630859375
23,0.0898284912109375,0.16484885821094045,1.0,0.0898284912109375,0.0898284912109375
24,0.045318603515625,0.08670773362917117,1.0,0.045318603515625,0.045318603515625
25,0.2482452392578125,0.3977507487317401,1.0,0.2482452392578125,0.2482452392578125
26,0.19195556640625,0.3220851042040043,1.0,0.19195556640625,0.19195556640625
27,0.0725555419921875,0.13529470344709849,1.0,0.0725555419921875,0.0725555419921875
28,0.0387725830078125,0.07465076310648236,1.0,0.0387725830078125,0.0387725830078125
29,0.184661865234375,0.31175455318271983,1.0,0.184661865234375,0.184661865234375
30,0.3349761962890625,0.5018459463475409,1.0,0.3349761962890625,0.3349761962890625
31,0.0077362060546875,0.01535363323895038,1.0,0.0077362060546875,0.0077362060546875
32,0.005096435546875,0.010141187186883255,1.0,0.005096435546875,0.005096435546875
33,0.1342620849609375,0.23673908656756576,1.0,0.1342620849609375,0.1342620849609375
34,0.0263519287109375,0.05135066827230424,1.0,0.0263519287109375,0.0263519287109375
35,0.0393829345703125,0.0757813761616043,1.0,0.0393829345703125,0.0393829345703125
36,0.02032470703125,0.03983968415385536,1.0,0.02032470703125,0.02032470703125
37,0.02362060546875,0.046151094150617133,1.0,0.02362060546875,0.02362060546875
38,0.00726318359375,0.014421620311458523,1.0,0.00726318359375,0.00726318359375
39,0.140472412109375,0.24634074549784593,1.0,0.140472412109375,0.140472412109375
40,0.0146636962890625,0.028903559559077852,1.0,0.0146636962890625,0.0146636962890625
41,0.244537353515625,0.3929771216988303,1.0,0.244537353515625,0.244537353515625
42,0.130584716796875,0.2310038599616703,1.0,0.130584716796875,0.130584716796875
43,0.4963836669921875,0.6634443798627468,1.0,0.4963836669921875,0.4963836669921875
44,0.336669921875,0.5037442922374429,1.0,0.336669921875,0.336669921875
45,0.0280914306640625,0.05464772845332977,1.0,0.0280914306640625,0.0280914306640625
46,0.08135986328125,0.15047694304904893,1.0,0.08135986328125,0.08135986328125
47,0.026458740234375,0.05155344135573064,1.0,0.026458740234375,0.026458740234375
48,0.1077117919921875,0.19447620359528894,1.0,0.1077117919921875,0.1077117919921875
49,0.061126708984375,0.1152109516551149,1.0,0.061126708984375,0.061126708984375
50,0.2202606201171875,0.3610058646259269,1.0,0.2202606201171875,0.2202606201171875
51,0.03668212890625,0.07076832499264056,1.0,0.03668212890625,0.03668212890625
52,0.11737060546875,0.21008357458895505,1.0,0.11737060546875,0.11737060546875
53,0.388916015625,0.5600281244506943,1.0,0.388916015625,0.388916015625
54,0.108001708984375,0.19494863249511113,1.0,0.108001708984375,0.108001708984375
55,0.12847900390625,0.2277029585158743,1.0,0.12847900390625,0.12847900390625
56,0.11004638671875,0.19827349205476438,1.0,0.11004638671875,0.11004638671875
57,0.0596923828125,0.11265983181661099,1.0,0.0596923828125,0.0596923828125
58,0.2772216796875,0.4341011182261302,1.0,0.2772216796875,0.2772216796875
59,0.535491943359375,0.6974858392129584,1.0,0.535491943359375,0.535491943359375
60,0.1755218505859375,0.2986279676527473,1.0,0.1755218505859375,0.1755218505859375
61,0.2203826904296875,0.36116980707435703,1.0,0.2203826904296875,0.2203826904296875
62,0.0135040283203125,0.026648198611884794,1.0,0.0135040283203125,0.0135040283203125
63,0.3293304443359375,0.49548318966012006,1.0,0.3293304443359375,0.3293304443359375
64,0.28240966796875,0.44043596211508257,1.0,0.28240966796875,0.28240966796875
65,0.4517822265625,0.6223829143193476,1.0,0.4517822265625,0.4517822265625
66,0.2702484130859375,0.4255048229966245,1.0,0.2702484130859375,0.2702484130859375
67,0.3691558837890625,0.5392459516990048,1.0,0.3691558837890625,0.3691558837890625
68,0.068267822265625,0.12781031281245536,1.0,0.068267822265625,0.068267822265625
69,0.3014678955078125,0.46327365668929454,1.0,0.3014678955078125,0.3014678955078125
70,0.570831298828125,0.7267888018961397,1.0,0.570831298828125,0.570831298828125
71,0.5506744384765625,0.7102386223862238,1.0,0.5506744384765625,0.5506744384765625
72,0.4478607177734375,0.6186516593421649,1.0,0.4478607177734375,0.4478607177734375
73,0.0918731689453125,0.168285422809788,1.0,0.0918731689453125,0.0918731689453125
